location,Epidemic,Medium,High,Very High,abbreviation,location_name,population
US,489499.300615592,740789.3441324823,2454332.796443203,4167490.619030139,US,US,340110988
01,8597.68382491066,8166.264311057975,39779.96268222842,80093.25343778876,AL,Alabama,5157699
02,904.6774405547844,892.4389825499071,7069.768860056517,17647.334499523495,AK,Alaska,740133
04,18543.632366741636,29303.50553472763,97806.85839703496,166620.9967757421,AZ,Arizona,7582384
05,7804.4397974434005,12599.368941454859,40984.13972712764,69029.31779682514,AR,Arkansas,3088354
06,25125.967709639204,43273.80094059727,265418.8516439229,591686.3797579971,CA,California,39431263
08,4615.970385376696,15536.527594186076,32507.277032546663,45050.00996250329,CO,Colorado,5957493
09,5449.225496977487,9287.336850242642,33153.833961929566,58183.14114890548,CT,Connecticut,3675069
10,726.2190562610001,1793.7756567703275,6264.7051484525,10888.315037086219,DE,Delaware,1051917
11,1209.5182396165476,1145.6882232552389,7370.132845743655,16779.74272144804,DC,District of Columbia,702250
12,47607.03330998599,41688.68446745692,168069.67358543994,311245.1306032828,FL,Florida,23372215
13,15934.24684993492,12833.32367241026,67037.1858538664,139205.2004341274,GA,Georgia,11180878
15,1549.571048781882,1040.9185979782592,4575.884736754289,8804.434949250948,HI,Hawaii,1446146
16,1484.4177347677196,4616.329028990505,22412.43602054499,45058.87491820076,ID,Idaho,2001619
17,13467.97897539159,22110.902813127,77206.36851949015,134176.1167598958,IL,Illinois,12710158
18,15018.500345619783,20103.69641842949,71710.44169511113,125804.8135790521,IN,Indiana,6924275
19,4537.792499662195,8195.081678536508,26015.19013861319,43347.35540107343,IA,Iowa,3241488
20,4583.7726191964575,6767.909564904279,22200.25002088875,37530.36884172009,KS,Kansas,2970606
21,9000.008386226214,14209.492211019406,53844.78110172296,97020.73247736054,KY,Kentucky,4588372
22,7137.807378323407,9157.297934518883,32659.84161775177,57293.12700929887,LA,Louisiana,4597740
23,1496.628489530186,4005.6666548172702,15736.266182211079,28810.11720532763,ME,Maine,1405012
24,4701.178943746804,10478.7911330889,37993.04725382237,67135.33289349999,MD,Maryland,6263220
25,11416.92819508129,25328.887401424407,75681.19573776965,122771.73421436874,MA,Massachusetts,7136171
26,20224.48382889801,30253.536754715733,96430.7989746847,160965.157147331,MI,Michigan,10140459
27,5750.33080468849,8187.3152583805195,33438.54402036376,62280.350737113986,MN,Minnesota,5793151
28,7456.109014740791,7819.456644106994,30523.605327182606,55725.745858814415,MS,Mississippi,2943045
29,11040.827628481358,18744.0624464268,73053.27733683228,133277.7843421909,MO,Missouri,6245466
30,1643.8828583254074,3721.6718162733105,12119.899253901203,20423.73044664893,MT,Montana,1137233
31,2436.211675437871,5486.321760676442,11902.065291002255,16760.318638076187,NE,Nebraska,2005465
32,3459.1821362199144,9052.946433689014,24312.59368380872,37623.91540431001,NV,Nevada,3267467
33,1081.264220848589,2946.7483272894287,8689.957802882056,14015.543252292824,NH,New Hampshire,1409032
34,13996.108051410238,22611.762821711978,78643.89151786349,136435.8803361263,NJ,New Jersey,9500851
35,3926.6487430303882,8773.23311894138,32617.982808790464,58280.572661092825,NM,New Mexico,2130256
36,24704.161597147748,43787.02430295838,167231.69333794725,302374.99308499234,NY,New York,19867248
37,12232.322541003996,15580.576480601027,77458.09105993134,157364.43577819385,NC,North Carolina,11046024
38,1510.303210065073,1576.0266141996703,9024.088006729633,19514.71380325214,ND,North Dakota,796568
39,18611.917214033143,26333.10434465747,102552.87843521965,187033.7470805585,OH,Ohio,11883304
40,11043.440938422575,20295.44230931646,64437.546764960534,107375.2299774538,OK,Oklahoma,4095393
41,4037.5363912339544,6101.621040530949,40834.86512748266,94609.16512114069,OR,Oregon,4272371
42,20074.015348911937,34842.05735149421,112407.42520854397,188639.34275951586,PA,Pennsylvania,13078751
44,506.39465226392787,1335.3238056090624,6407.3919372965165,12815.02538364519,RI,Rhode Island,1112308
45,8117.759416985671,9279.984516951778,44886.201234982786,90091.7747081875,SC,South Carolina,5478831
46,1476.3244321217003,2656.0729111355495,8554.622911508728,14345.488612376488,SD,South Dakota,924669
47,9332.932038537228,12489.986115352807,59712.0458601122,119232.67461263333,TN,Tennessee,7227750
48,56250.43517989867,80468.80747607096,207156.8325160455,314639.12750943983,TX,Texas,31290831
49,1443.9172775693403,2328.1098775438963,6562.776766455129,10375.787741933787,UT,Utah,3503613
50,558.9993208784571,1504.7810263908168,5354.349130474319,9383.119457129374,VT,Vermont,648493
51,14673.621689704492,13590.597089189661,59010.245892236155,112922.52939880358,VA,Virginia,8811195
53,5655.130467023029,9102.808288406673,49773.71713947292,105465.99012242287,WA,Washington,7958180
54,2448.0130715749415,7966.625836536693,26050.66301264486,43978.77213050971,WV,West Virginia,1769979
55,7726.272791253812,12458.781254978583,44863.05348426596,79034.89063188592,WI,Wisconsin,5960975
56,985.1521373245143,1656.948716075958,8367.143119578708,17116.53490545551,WY,Wyoming,587618
72,5500.590979298225,6525.913999483247,14893.933350602034,21448.903816739825,PR,Puerto Rico,3203295
