,reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
29026,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.01,208.0
29027,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.025,220.0
29028,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.05,231.0
29029,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.1,256.04376592318994
29030,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.15,281.7886060571152
29031,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.2,304.2146969481823
29032,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.25,327.05777907262666
29033,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.3,346.7504821687513
29034,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.35,368.26611328125
29035,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.4,378.7253723144531
29036,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.45,389.7911071777344
29037,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.5,399.8271789550781
29038,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.55,411.395263671875
29039,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.6,422.7462768554687
29040,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.65,435.6015319824219
29041,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.7,449.0078125
29042,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.75,464.3540649414063
29043,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.8,497.209440442597
29044,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.85,506.7002380018365
29045,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.9,531.0
29046,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.95,564.0
29047,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.975,582.0
29048,2025-12-27,01,0.0,wk inc flu hosp,2025-12-27,quantile,0.99,595.0
29049,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.01,198.0
29050,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.025,221.0
29051,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.05,242.0
29052,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.1,275.0
29053,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.15,290.9694664387516
29054,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.2,315.0
29055,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.25,331.0
29056,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.3,350.0
29057,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.35,365.0
29058,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.4,372.0
29059,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.45,397.0
29060,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.5,416.0
29061,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.55,440.0
29062,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.6,468.0
29063,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.65,500.0
29064,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.7,523.0
29065,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.75,563.5890104606036
29066,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.8,594.0
29067,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.85,619.2888942929255
29068,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.9,670.0
29069,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.95,774.6956939547549
29070,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.975,904.0
29071,2025-12-27,01,1.0,wk inc flu hosp,2026-01-03,quantile,0.99,963.0
29072,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.01,184.0
29073,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.025,212.0
29074,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.05,239.0
29075,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.1,286.0
29076,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.15,323.4915202020257
29077,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.2,353.0
29078,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.25,384.0
29079,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.3,411.0
29080,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.35,440.0
29081,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.4,467.0
29082,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.45,495.0
29083,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.5,521.0
29084,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.55,543.0
29085,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.6,567.0
29086,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.65,595.0
29087,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.7,629.0
29088,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.75,659.0
29089,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.8,693.0
29090,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.85,724.0
29091,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.9,777.0
29092,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.95,873.0
29093,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.975,1067.0
29094,2025-12-27,01,2.0,wk inc flu hosp,2026-01-10,quantile,0.99,1121.6981002418647
29095,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.01,162.0
29096,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.025,210.0
29097,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.05,238.6770361434436
29098,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.1,275.0
29099,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.15,315.0
29100,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.2,348.0
29101,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.25,380.0
29102,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.3,471.0
29103,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.35,501.0
29104,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.4,521.0
29105,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.45,553.0
29106,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.5,593.0
29107,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.55,630.0
29108,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.6,652.0
29109,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.65,669.0
29110,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.7,679.0
29111,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.75,690.0
29112,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.8,716.0
29113,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.85,759.0
29114,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.9,866.2621618762018
29115,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.95,1010.191876805634
29116,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.975,1022.956904055124
29117,2025-12-27,01,3.0,wk inc flu hosp,2026-01-17,quantile,0.99,1052.687473923772
29118,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.01,15.0
29119,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.025,17.0
29120,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.05,20.0
29121,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.1,24.0
29122,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.15,26.0
29123,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.2,29.0
29124,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.25,31.0
29125,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.3,32.5
29126,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.35,34.0
29127,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.4,35.46717780020909
29128,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.45,37.324031489616985
29129,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.5,39.24423376262436
29130,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.55,41.3987061026759
29131,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.6,44.31311972282526
29132,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.65,48.076156287330846
29133,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.7,52.40201729643364
29134,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.75,55.83003743146999
29135,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.8,61.1962038734176
29136,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.85,65.76839506820606
29137,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.9,69.83651760173515
29138,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.95,74.0
29139,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.975,79.0
29140,2025-12-27,02,0.0,wk inc flu hosp,2025-12-27,quantile,0.99,80.0
29141,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.01,14.0
29142,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.025,17.0
29143,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.05,19.5
29144,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.1,23.0
29145,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.15,26.0
29146,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.2,28.330839608936905
29147,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.25,30.0
29148,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.3,32.32987593470709
29149,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.35,35.559754728336756
29150,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.4,38.3293167693312
29151,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.45,40.97449802685415
29152,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.5,43.6280359541054
29153,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.55,46.80140643539285
29154,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.6,50.21128850704305
29155,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.65,53.44359942043035
29156,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.7,57.552762822898444
29157,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.75,61.96275974788443
29158,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.8,68.19872004343252
29159,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.85,74.5
29160,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.9,78.5
29161,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.95,85.5
29162,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.975,91.0
29163,2025-12-27,02,1.0,wk inc flu hosp,2026-01-03,quantile,0.99,96.5
29164,2025-12-27,02,2.0,wk inc flu hosp,2026-01-10,quantile,0.01,10.828713076824133
29165,2025-12-27,02,2.0,wk inc flu hosp,2026-01-10,quantile,0.025,13.0
29166,2025-12-27,02,2.0,wk inc flu hosp,2026-01-10,quantile,0.05,16.0
29167,2025-12-27,02,2.0,wk inc flu hosp,2026-01-10,quantile,0.1,20.0
29168,2025-12-27,02,2.0,wk inc flu hosp,2026-01-10,quantile,0.15,23.0
29169,2025-12-27,02,2.0,wk inc flu hosp,2026-01-10,quantile,0.2,25.5
29170,2025-12-27,02,2.0,wk inc flu hosp,2026-01-10,quantile,0.25,28.0
