,reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
23046,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.01,76.47933959960938
23047,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.025,83.75944519042969
23048,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.05,90.0
23049,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.1,103.0
23050,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.15,108.0
23051,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.2,113.0
23052,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.25,116.0
23053,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.3,122.92992524588978
23054,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.35,131.3034210205078
23055,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.4,134.58554077148438
23056,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.45,139.0
23057,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.5,141.616943359375
23058,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.55,145.19195556640625
23059,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.6,148.6343231201172
23060,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.65,152.53549194335938
23061,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.7,156.86695861816406
23062,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.75,162.87326049804688
23063,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.8,168.05355834960938
23064,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.85,175.71755981445312
23065,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.9,184.8144073486328
23066,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.95,197.87435913085932
23067,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.975,207.3643951416016
23068,2025-12-20,01,0.0,wk inc flu hosp,2025-12-20,quantile,0.99,219.5368804931641
23069,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.01,83.9247055053711
23070,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.025,94.88298034667967
23071,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.05,107.03628540039062
23072,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.1,112.0
23073,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.15,127.59799877488234
23074,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.2,140.90823364257812
23075,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.25,146.69912719726562
23076,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.3,153.23487854003906
23077,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.35,162.0
23078,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.4,172.0
23079,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.45,182.0
23080,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.5,192.0
23081,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.55,199.0
23082,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.6,206.0
23083,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.65,216.0
23084,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.7,222.0
23085,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.75,233.0
23086,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.8,249.0
23087,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.85,269.0
23088,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.9,296.0
23089,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.95,335.81076140685144
23090,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.975,357.0428130651615
23091,2025-12-20,01,1.0,wk inc flu hosp,2025-12-27,quantile,0.99,382.5479147123941
23092,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.01,75.19805145263672
23093,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.025,87.23985290527344
23094,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.05,105.10855102539062
23095,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.1,121.86441802978516
23096,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.15,131.0
23097,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.2,141.044189453125
23098,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.25,148.78492736816406
23099,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.3,162.28112127515303
23100,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.35,178.0
23101,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.4,180.0
23102,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.45,193.5121294679259
23103,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.5,209.1049321080715
23104,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.55,227.59627857795485
23105,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.6,246.638133506714
23106,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.65,278.85002535777954
23107,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.7,311.50024670061526
23108,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.75,319.2068161553857
23109,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.8,333.0
23110,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.85,366.0
23111,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.9,390.0
23112,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.95,414.0
23113,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.975,462.2808532714844
23114,2025-12-20,01,2.0,wk inc flu hosp,2026-01-03,quantile,0.99,538.375244140625
23115,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.01,72.85063171386719
23116,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.025,86.49897766113281
23117,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.05,103.35370635986328
23118,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.1,125.75092315673828
23119,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.15,143.0
23120,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.2,149.0
23121,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.25,158.9270782470703
23122,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.3,169.1066436767578
23123,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.35,176.0
23124,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.4,187.44702802159543
23125,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.45,200.68777465820312
23126,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.5,214.0
23127,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.55,228.9263537512148
23128,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.6,241.8018563899496
23129,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.65,262.0
23130,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.7,304.0
23131,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.75,363.0
23132,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.8,396.13847290030657
23133,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.85,425.5774897882014
23134,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.9,500.0345790226952
23135,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.95,550.0
23136,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.975,622.6956176757812
23137,2025-12-20,01,3.0,wk inc flu hosp,2026-01-10,quantile,0.99,700.4959716796875
23161,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.01,5.0
23162,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.025,6.0
23163,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.05,8.0
23164,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.1,9.755996693148122
23165,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.15,11.70404110017008
23166,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.2,13.0
23167,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.25,14.0
23168,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.3,14.0
23169,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.35,15.0
23170,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.4,15.0
23171,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.45,16.0
23172,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.5,16.0
23173,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.55,17.0
23174,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.6,17.0
23175,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.65,18.0
23176,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.7,18.86044645578744
23177,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.75,20.63021359762964
23178,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.8,22.91518672433745
23179,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.85,25.41106256764825
23180,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.9,29.522532086714897
23181,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.95,34.10067756231592
23182,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.975,37.77503669905841
23183,2025-12-20,02,0.0,wk inc flu hosp,2025-12-20,quantile,0.99,41.24732971191406
23184,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.01,4.0
23185,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.025,7.0
23186,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.05,8.0
23187,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.1,9.480507322544144
23188,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.15,11.308243809949492
23189,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.2,12.875701894984743
23190,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.25,14.301492413945976
23191,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.3,15.64568899975329
23192,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.35,16.945173520642783
23193,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.4,17.0
23194,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.45,18.0
23195,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.5,18.0
23196,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.55,19.0
23197,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.6,21.0
23198,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.65,23.0
23199,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.7,25.0
23200,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.75,26.0
23201,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.8,29.0
23202,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.85,32.0
23203,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.9,36.0
23204,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.95,41.814655555509134
23205,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.975,49.94295147826509
23206,2025-12-20,02,1.0,wk inc flu hosp,2025-12-27,quantile,0.99,53.60726132375883
23207,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.01,4.0
23208,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.025,5.0
23209,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.05,6.777346593026341
23210,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.1,9.200596573752216
23211,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.15,11.04438918425728
23212,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.2,12.629790289321296
23213,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.25,14.07463201202258
23214,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.3,15.43881601605204
23215,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.35,16.7592536409381
23216,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.4,18.06231202863162
23217,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.45,19.36946357182818
23218,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.5,20.700471398748064
23219,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.55,22.07570367442461
23220,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.6,23.51838987230984
23221,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.65,25.057507038985385
23222,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.7,27.067999118649443
23223,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.75,31.6558766320958
23224,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.8,33.85914294022575
23225,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.85,37.0
23226,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.9,43.0
23227,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.95,52.0
23228,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.975,61.0
23229,2025-12-20,02,2.0,wk inc flu hosp,2026-01-03,quantile,0.99,65.0
23230,2025-12-20,02,3.0,wk inc flu hosp,2026-01-10,quantile,0.01,2.613986337536084
23231,2025-12-20,02,3.0,wk inc flu hosp,2026-01-10,quantile,0.025,3.257828335009886
23232,2025-12-20,02,3.0,wk inc flu hosp,2026-01-10,quantile,0.05,4.83527367357994
23233,2025-12-20,02,3.0,wk inc flu hosp,2026-01-10,quantile,0.1,7.359753841008111
